索引,时间戳,交换机,平均包数,平均字节数,端口变化率,流表一致性检测,packet_in速率,传输容量,传输效率
6,1674913738.19,4,0.247409679668,23.6915934529,4.00000000597,0,9.55273079618e-09,9708.66666667,1.0150259795
6,1674913738.19,5,0.230338621834,21.8500400348,12.0000000131,0,1.73143245681e-08,17800.3333333,1.01772463378
6,1674913738.19,6,0.21700885321,20.3830238418,12.0000000107,0,1.4926141869e-08,12969.3333333,1.01492537313
6,1674913738.19,7,0.231915983529,21.8141251722,12.0000000119,0,1.37320505195e-08,16431.6666667,1.01625036366
7,1674913743.19,1,0.207415207415,19.8882190882,4.00000000597,1,8.95568509468e-09,9640.0,1.0
7,1674913743.19,2,0.201932757488,19.2851313407,8.00000001075,0,1.43290961515e-08,15905.3333333,1.0
7,1674913743.19,3,0.204712504712,19.5925849926,4.00000000597,0,9.55273076766e-09,9577.33333333,1.0
7,1674913743.19,4,0.207415207415,19.8574498574,4.00000000597,0,9.55273076766e-09,9637.33333333,1.0
7,1674913743.19,5,0.193158238613,18.3176148631,12.0000000131,0,1.73143245164e-08,17646.6666667,1.0
7,1674913743.19,6,0.182028237584,17.0908986465,12.0000000107,0,1.49261418245e-08,12874.6666667,1.0
7,1674913743.19,7,0.19455999456,18.2937976938,12.0000000119,0,1.37320504785e-08,16301.3333333,1.0
8,1674913748.19,1,0.178553071576,17.1181913145,2.00000000597,1,8.95568506793e-09,9640.0,1.0
8,1674913748.19,2,0.173844442578,16.5997129467,4.00000001075,0,1.43290961087e-08,15905.3333333,1.0
8,1674913748.19,3,0.176227490181,16.8636176711,2.00000000597,0,9.55273073912e-09,9577.33333333,1.0
8,1674913748.19,4,0.178553071576,17.0915246478,2.00000000597,0,9.55273073912e-09,9637.33333333,1.0
8,1674913748.19,5,0.166314351304,15.7684989884,6.00000001314,0,1.73143244647e-08,17646.6666667,1.0
8,1674913748.19,6,0.156761468131,14.7144703398,6.00000001075,0,1.49261417799e-08,12874.6666667,1.0
8,1674913748.19,7,0.167571109432,15.7519638743,6.00000001194,0,1.37320504375e-08,16301.3333333,1.0
9,1674913753.2,1,0.166938505797,16.0037138681,4.00000000597,1,8.95568504118e-09,9640.0,1.0
9,1674913753.2,2,0.162540313205,15.5192230829,8.00000001075,0,1.43290960659e-08,15905.3333333,1.0
9,1674913753.2,3,0.164764592754,15.7656703899,4.00000000597,0,9.55273071059e-09,9577.33333333,1.0
9,1674913753.2,4,0.166938505797,15.9787138681,4.00000000597,0,9.55273071059e-09,9637.33333333,1.0
9,1674913753.2,5,0.155508938735,14.742712496,12.0000000131,0,1.7314324413e-08,17646.6666667,1.0
9,1674913753.2,6,0.146588219807,13.7580012633,12.0000000107,0,1.49261417353e-08,12874.6666667,1.0
9,1674913753.2,7,0.156702948551,14.728759108,12.0000000119,0,1.37320503965e-08,16301.3333333,1.0
10,1674913758.2,1,0.147720897721,14.15997161,4.00000000597,1,8.95568501443e-09,9640.0,1.0
10,1674913758.2,2,0.143835129946,13.731639815,8.00000001075,0,1.43290960231e-08,15975.3333333,1.00293402632
10,1674913758.2,3,0.145797820798,13.9492878493,4.00000000597,0,9.55273068206e-09,9577.33333333,1.0
10,1674913758.2,4,0.147720897721,14.1377493877,4.00000000597,0,9.55273068206e-09,9637.33333333,1.0
10,1674913758.2,5,0.137626308081,13.0454545909,12.0000000131,0,1.73143243612e-08,17646.6666667,1.0
10,1674913758.2,6,0.129748393637,12.1752137308,12.0000000107,0,1.49261416907e-08,12874.6666667,1.0
10,1674913758.2,7,0.138710876211,13.0353276853,12.0000000119,0,1.37320503555e-08,16301.3333333,1.0
11,1674913763.2,1,0.132471364368,12.697184008,2.00000000597,1,8.95568498769e-09,9780.0,1.00968188105
